filename,category,type,duration_sec,channels,sample_rate_hz,prompt,negative_prompt,notes
    assets/audio/ui/open_01.wav,ui,oneshot,0.14,mono,48000,"Short sci-fi UI open click, crisp high-mid transient, clean futuristic panel activation, dry mix, immediate start, game-ready.","No voice, no words, no melody, no chord progression, no long reverb, no clipping, no boomy low end.","Single required UI open cue."
    assets/audio/ui/close_01.wav,ui,oneshot,0.16,mono,48000,"Short sci-fi UI close click, slightly lower than open cue, tidy panel shutdown blip, clean transient, dry mix.","No voice, no words, no melody, no chord progression, no long reverb, no clipping, no boomy low end.","Single required UI close cue."
    assets/audio/weapons/primary_fire_01.wav,weapons,oneshot,0.18,mono,48000,"Space naval primary cannon shot, sharp attack, compact body, readable under rapid fire, light sci-fi texture, dry mix.","No voice, no words, no melody, no chord progression, no long reverb tails, no clipping, no muddy bass.","Variant A primary fire."
    assets/audio/weapons/primary_fire_02.wav,weapons,oneshot,0.20,mono,48000,"Space naval primary cannon shot alternate, similar family to variant A, slightly brighter snap and tighter tail, mix-ready.","No voice, no words, no melody, no chord progression, no long reverb tails, no clipping, no muddy bass.","Variant B primary fire."
    assets/audio/weapons/secondary_fire_01.wav,weapons,oneshot,0.30,mono,48000,"Missile launch one-shot, punchy launch thump with quick ignition hiss, medium-low weight, short controlled tail.","No voice, no words, no melody, no chord progression, no long reverb tails, no clipping, no muddy bass.","Variant A secondary fire."
    assets/audio/weapons/secondary_fire_02.wav,weapons,oneshot,0.34,mono,48000,"Missile launch one-shot alternate, stronger ignition crack, slightly longer whoosh than variant A, still tight and readable.","No voice, no words, no melody, no chord progression, no long reverb tails, no clipping, no muddy bass.","Variant B secondary fire."
    assets/audio/weapons/wave_fire_01.wav,weapons,oneshot,1.05,stereo,48000,"Superweapon discharge, deep energy surge into violent release, high impact sci-fi blast, authoritative but controlled decay.","No voice, no words, no melody, no chord progression, no cinematic music beds, no clipping, no muddy sub boom.","Single wave-motion fire cue."
    assets/audio/impacts/shield_kinetic_01.wav,impacts,oneshot,0.16,mono,48000,"Kinetic projectile striking energy shield, crisp crack and ion shimmer, tight and bright combat readability.","No voice, no words, no melody, no chord progression, no long tail, no clipping, no exaggerated bass.","Variant A shield kinetic."
    assets/audio/impacts/shield_kinetic_02.wav,impacts,oneshot,0.18,mono,48000,"Kinetic shield impact alternate, similar timbre with slightly lower body and sharper top transient.","No voice, no words, no melody, no chord progression, no long tail, no clipping, no exaggerated bass.","Variant B shield kinetic."
    assets/audio/impacts/shield_energy_01.wav,impacts,oneshot,0.18,mono,48000,"Energy bolt striking shield, bright zap pop with short electric fizz, clear and compact.","No voice, no words, no melody, no chord progression, no long tail, no clipping, no exaggerated bass.","Variant A shield energy."
