ID,Section,Need Type,Request,Recommended/Default,Good Enough Evidence,Codex Follow-up
U-01,A2 / 28.6,Playtest,"Play 3-5 strike-heavy routes and decide whether torpedo/sortie/atomic costs feel too cheap, fair, or too punitive.","Fair unless strikes erase major threats without logistics planning.","Notes with seed, route, strike used, result, and feel.","Tune costs/damage/cooldowns and add regression coverage."
U-02,A2 / 28.3,Playtest,"Verify the ore loop end to end: mine, return, buy ships or upgrades, relaunch with a larger fleet.","Approve if one purchased/refit hull changes the next launch.","One completed loop with before/after fleet state.","Turn notes into an ore-loop acceptance test and tune payouts/costs."
U-03,A4 / 28.9,Scope decision,"Pick the small orbital-layer subset for alpha: navigation drag, sensor shadows, logistics quarantine, or presentation-only.","Sensor shadows plus quarantine warnings.","One selected subset.","Implement the narrow orbital slice and mark only that subset complete."
U-04,A5 / 28.5,Asset triage,"Mark which placeholder sprites, icons, HUD buttons, map panels, portraits, and voice lines bother you most.","Replace only top 10 disruptive placeholders before alpha.","Ranked must-replace list.","Generate/replace assets and update validation manifests."
U-05,A5 / 28.5,Manual accessibility,"Run keyboard-only, high contrast, captions, quiet mode, warning readability, and 1280x720/1920x1080 checks.","Record pass/fail with screenshots for failures.","Checklist notes and screenshots.","Fix layout/input/accessibility blockers."
U-06,28.6 / 28.10,Release scope,"Decide whether battle replay, visual battlefield editor, and mod browser are alpha blockers or post-alpha.","Post-alpha unless they are promised release features.","Blocker/non-blocker decision for each.","Either implement narrow blocker scope or move to post-alpha roadmap."
U-07,28.3,Playtest,"Verify live economy/diplomacy choices materially change later encounters.","Use two contrasting choices in two saves.","Notes showing different later outcomes.","Add tests and tune consequence hooks."
U-08,28.3,Content direction,"Choose terse command UI or fuller dialogue scenes for negotiation/favor/alliance interactions.","Terse command UI for alpha.","Preferred style plus 2-3 example lines.","Implement selected interaction style."
U-09,28.3,Writing approval,"Approve or revise recurring bulletins, officer opinions, logs, and banter tone.","Right tone if clear and not too chatty.","Tone notes: too dry, too jokey, or approved.","Edit pools/cooldowns/localization keys."
U-10,28.5,Art approval,"Approve faction hull skins, turret skins, damage stages, wrecks, plumes, shields, trails, station modules, props, portraits, and map icons.","Approve current set except explicit must-replace items.","Approved list and must-replace list.","Generate/replace assets and update validators."
U-11,28.5,Audio approval,"Approve weapon audio, engines, impacts, ambience, music behavior, warnings, radio distortion, voice priorities, ducking, and captions.","Approve current set except explicit must-replace items.","Approved list and must-replace list.","Generate/replace audio placeholders and update manifests."
U-12,28.5,Presentation review,"Verify empty space, hubs, allied, neutral, hostile, and operational districts are visually distinct.","Distinct enough for alpha if route decisions are readable.","Screenshot notes with failures.","Tune backgrounds, icons, panels, and target baselines."
U-13,28.6,Scope decision,"Choose battle replay depth: event log only, deterministic playback, or cinematic replay.","Event log only for alpha.","Chosen depth and alpha blocker status.","Implement or de-scope replay path."
U-14,28.6,Scope decision,"Rank custom scenario, scheduled challenge, post-campaign stats, and new-game-plus priority.","Challenge/stats first, NG+ later.","Alpha/beta/post-release rank.","Implement selected launch flows."
U-15,28.6,Architecture acceptance,"Accept current ownership-boundary guardrails or require stricter typed-ID migration.","Accept current guardrails for alpha.","Decision plus any required typed IDs.","Add stricter validators if required."
U-16,28.9,Scope decision,"Pick first deep-simulation vertical slice: stations, officers, hazards, politics, crises, or legacy/endgames.","Stations or hazards first.","One first slice.","Implement and test the chosen slice."
U-17,28.9,Narrative approval,"Approve named civilian actors, rumors, casualty reports, neutral powers, political blocs, and crisis tone.","Approve categories, revise specific names later.","Approve/revise/de-scope list.","Turn approved content into authored pools and UI surfaces."
U-18,28.10,Tooling scope,"Decide whether battlefield editor must be in-game, external/dev-only, or postponed.","Dev-only first if needed before alpha.","Target surface decision.","Build the editor at chosen scope."
U-19,28.10,Community scope,"Decide whether featured scenarios, local ratings, notes, and mod compatibility report are alpha blockers.","Compatibility report only if mods ship in alpha.","Blocker/non-blocker per item.","Implement blockers or move rest to roadmap."
U-20,28.11,Manual playthrough,"Run or assign new-campaign, migration, long-campaign, defeat, victory, challenge, editor, modded, and safe-mode playthroughs.","Start with new-campaign, defeat, victory, safe-mode.","Pass/fail notes with seed/date/blockers.","Fix blockers and update release validation."
U-21,28.11,Balance judgment,"Judge economy, logistics, faction directors, doctrine, hazards, crises, endgames, and scoring after play.","Record too easy, too punishing, unclear, or good.","Per-system balance notes.","Tune values and add balance tests."
U-22,28.11,Content pass,"Flag repeated text, placeholder names, missing assets, inaccessible UI states, dead controls, and unreachable branches.","Prioritize anything visible in first hour.","Punch list with screenshots or file refs.","Fix content/UI blockers."
