"Section","Subsection","Feature","Classification","Evidence","PlayerSurface","Persistence","TestFamily","KnownLimitation"
"1","1.1 Soft-Lock Prevention","Add a centralized modal queue so only one blocking prompt can own input at a time.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.1 Soft-Lock Prevention","Add explicit modal priority rules for tactical entry, intervention, hub actions, story scenes, and confirmations.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.1 Soft-Lock Prevention","Add a visible ""dismiss stale prompt"" recovery action when referenced entities no longer exist.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.1 Soft-Lock Prevention","Add watchdog logic that clears any blocking prompt with no valid responder.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.1 Soft-Lock Prevention","Add watchdog logic that restores `RUNNING` when no active overlay owns a paused state.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.1 Soft-Lock Prevention","Add debug logging for every state transition into and out of `PAUSED`, `MAP`, `SHOP`, `FLEET`, and `BASE_MENU`.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.1 Soft-Lock Prevention","Add regression tests for back-to-back hostile contacts from every encounter source.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.1 Soft-Lock Prevention","Add regression tests for contacts arriving during mining, docking, travel, tactical entry, and warp exit.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.1 Soft-Lock Prevention","Add regression tests for save/load while a prompt is open.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.1 Soft-Lock Prevention","Add regression tests for escape-menu use during every overlay state.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
